"","language","glottocode","family","area","longitude","latitude","Rec.P","RecRef.I","RecRef.D","ContentQInitial","ContentQNonInitial","NumNoun","NounNum","DegWordAdj","AdjDegWord","GenN","NGen","AdjNoun","NounAdj","PossAff.P","PossPre","PossSuff","ComInst","NPconj","NVconj","DefArt","IndefArt","PronomS","IndefPron","PronDem","DemDis","PronAdnDem","IntRef","GenPron","Gender","Gender.n","NegMorph","NPlural","OrdNum","DistNum","AdpN","DemN","NegV","OXV","RelN","Passive","Optative","Prohibitive","Imperative","AdpPM","PolarQ","PossClass","PossLocus","Reduplication","Future","Past","Aspect","Vper","SOV","Head.driven.agr","Juxtaposition","Governed","Cons.state","agr.class","mixed","Agr.Gender","Agr.Number","Agr.State","Agr.Case","Agr.Def","Agr.none","NPHeadlessness","ClausePosition","NumClass.n","Alignment","VInflCat"
"72","Imonda","imon1245","Waris","0",141.166666667,-3.33333333333,"TRUE","TRUE","FALSE",NA,NA,"FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE",NA,NA,"Differentiation",NA,"Differentiation","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position",NA,"Unrelated","Twoway contrast","Identical","Identical","No gender distinctions","No gender","None","Negative particle","No plural","None","No distributive numerals","Postpositions","Mixed","NegV",NA,"Mixed","Absent","Inflectional optative absent","Special imperative  special negative","Second person numberneutral","No person marking",NA,"Two classes","Double marking",NA,"Inflectional future exists","Present no remoteness distinctions","Grammatical marking","No person marking",NA,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrxP","10"
"73","Iraqw","iraq1241","Southern Cushitic","0",35.5,-4,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Mixed",NA,"Identity","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Genericnounbased","Unrelated","Fourway contrast","Different stem",NA,"1st or 2nd person but not 3rd","Semantic and formal","Two","Negative affix","Plural suffix","First two three","Marked by reduplication","Prepositions","NounDemonstrative","VNeg","No dominant order","NounRelative clause","Present","Inflectional optative absent","Normal imperative  special negative","Second singular and second plural","No person marking","No question particle",NA,NA,NA,NA,NA,NA,"Only the A argument","SOV",NA,NA,NA,NA,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,NA,"0","SvAtrvP",NA
"74","Japanese","nucl1643",NA,"0",140,37,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,"Differentiation","And identical to with","Differentiation","No definite but indefinite article","Indefinite word distinct from one","Optional pronouns in subject position","Interrogativebased","Unrelated","Threeway contrast","Different inflection","Identical","3rd person only but also nonsingular",NA,NA,"Negative affix","Plural suffix","Oneth twoth threeth","Marked by suffix","Postpositions","DemonstrativeNoun","VNeg","XOV","Relative clauseNoun","Present","Inflectional optative absent","Normal imperative  special negative","Second person numberneutral","No person marking","Final","No possessive classification","Dependent marking","Full reduplication only","No inflectional future","Present no remoteness distinctions","No grammatical marking","No person marking","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrxP","5"
"75","Kannada","nucl1305","South Dravidian","0",76,14,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,"Differentiation","And different from with","Differentiation",NA,"Indefinite word same as one","Subject affixes on verb","Interrogativebased","Related to remote demonstratives","Twoway contrast","Different inflection","Identical","3rd person only but also nonsingular","Semantic","Three","Negative affix","Plural suffix","Firstoneth twoth threeth","Marked by reduplication","Postpositions","DemonstrativeNoun","VNeg",NA,"Mixed","Present","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No person marking","Final","No possessive classification","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","No grammatical marking","Only the A argument","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrxP",NA
"76","Karok","karo1304",NA,"0",-123,41.6666666667,"TRUE","FALSE","TRUE",NA,NA,"TRUE","FALSE",NA,NA,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","Differentiation",NA,"Differentiation","Definite word distinct from demonstrative",NA,"Subject affixes on verb","Interrogativebased",NA,NA,NA,"Differentiated","No gender distinctions","No gender","None","Double negation","Plural suffix",NA,NA,"Postpositions","DemonstrativeNoun","ObligDoubleNeg","No dominant order",NA,"Present","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No person marking",NA,"No possessive classification","Head marking","Productive full and partial reduplication","Inflectional future exists","No past tense","No grammatical marking","Both the A and P arguments","No dominant order","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP",NA
"77","Kayardild","kaya1319","Southern Tangkic","0",139.5,-17.05,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,"TRUE","FALSE","TRUE","FALSE",NA,NA,NA,"Differentiation",NA,NA,"Definite word distinct from demonstrative","Indefinite word same as one","Optional pronouns in subject position","Interrogativebased","Related for nonhuman reference","Twoway contrast","Identical","Identical","No gender distinctions","No gender","None","Negative affix","No plural","None","Marked by mixed or other strategies","No adpositions","DemonstrativeNoun","VNeg","No dominant order","NounRelative clause","Present","Inflectional optative absent","Special imperative  special negative","Second person numberneutral","No adpositions","No question particle","Two classes","Dependent marking","Productive full and partial reduplication","Inflectional future exists","No past tense","No grammatical marking","No person marking","No dominant order","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"4"
"78","Ket","kett1243",NA,"0",87,64,NA,NA,NA,"FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Identity","And different from with","Identity","No definite or indefinite article","No definite or indefinite article",NA,"Interrogativebased",NA,"Threeway contrast","Different inflection","Differentiated","No gender distinctions","Semantic","Three",NA,"Plural suffix","Firstoneth twoth threeth","Marked by suffix","Postpositions","DemonstrativeNoun","NegV",NA,NA,"Present","Inflectional optative absent","Normal imperative  special negative","Second singular and second plural","Pronouns and nouns",NA,"No possessive classification","Head marking",NA,"No inflectional future","No past tense","Grammatical marking","Both the A and P arguments","SOV","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP",NA
"79","Kiowa","kiow1266","Kiowa","0",-99,37,"TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,NA,"TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE",NA,"And different from with",NA,"No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Interrogativebased",NA,"Twoway contrast","Identical","Differentiated","No gender distinctions",NA,NA,"Double negation","Plural suffix",NA,NA,"No adpositions","DemonstrativeNoun","ObligDoubleNeg",NA,"Internally headed","Absent","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No adpositions","Initial","Two classes","Head marking","No productive reduplication","Inflectional future exists","No past tense","Grammatical marking","A or P argument","SOV","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"80","Koasati","koas1236",NA,"0",-85.1666666667,34.8333333333,"TRUE","FALSE","TRUE",NA,NA,"FALSE","TRUE",NA,NA,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","Differentiation",NA,"Differentiation","Definite word distinct from demonstrative",NA,"Subject affixes on verb","Interrogativebased","Unrelated","Five or moreway contrast","Identical","Differentiated","No gender distinctions","No gender","None","Negative affix","Plural clitic","First twoth threeth",NA,"Postpositions","DemonstrativeNoun","VNeg","OVX","Mixed","Present","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","Pronouns only",NA,"Two classes","Head marking","Productive full and partial reduplication","Inflectional future exists","Present 23 remoteness distinctions","No grammatical marking","Both the A and P arguments","SOV","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrxP",NA
"81","Kobon","kobo1249","Kalamic-South Adelbert","0",144.333333333,-5.16666666667,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","Differentiation","And identical to with","Differentiation","No definite but indefinite article","Indefinite word distinct from one","Subject affixes on verb","Genericnounbased","Unrelated","Twoway contrast","Identical","Identical","No gender distinctions","No gender","None","Negative affix","Plural suffix","None",NA,"Postpositions","NounDemonstrative","VNeg",NA,"Mixed","Absent","Inflectional optative absent","Normal imperative  normal negative","Second singular and second plural","No person marking","Final","Two classes","No marking",NA,NA,NA,NA,"Only the A argument","SOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","mixed",NA
"82","Korean","kore1280",NA,"0",128,37.5,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,NA,NA,"Differentiation","And different from with","Differentiation","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position","Interrogativebased","Unrelated","Threeway contrast","Different stem","Identical","3rd person singular only",NA,NA,"Negative particle","Plural suffix","Oneth twoth threeth","Marked by suffix","Postpositions","DemonstrativeNoun","NegV",NA,"Relative clauseNoun","Present","Inflectional optative absent","Normal imperative  special negative","Second person numberneutral","No person marking","No question particle","No possessive classification","Dependent marking","Productive full and partial reduplication","No inflectional future","Present no remoteness distinctions","Grammatical marking","No person marking","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,"OK",NA,"26","SvAtrxP",NA
"83","Koyraboro Senni Songhai","koyr1242",NA,"0",0,16,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE",NA,NA,"TRUE","FALSE","FALSE","TRUE","TRUE",NA,NA,NA,NA,"Differentiation","Definite word distinct from demonstrative","No indefinite but definite article","Obligatory pronouns in subject position","Genericnounbased","Unrelated","No distance contrast","Identical","Differentiated","No gender distinctions","No gender","None","Negative particle","Plural clitic","Firstoneth twoth threeth",NA,"Postpositions","NounDemonstrative","NegV","OVX","NounRelative clause","Present","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No person marking","In either of two positions",NA,NA,NA,"No inflectional future","No past tense","Grammatical marking","No person marking","SOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrvP",NA
