language,glottocode,family,area,longitude,latitude,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Head.driven.agr,Construct.state,Juxtaposition,Governed,Mod.headed.poss.agr,Linker,Incorporation,Dep.driven.agr,Pronominal.agr,Anti.const.state.agr,Mod.governed.adp,External.driven.agr,External.Poss,Bare.noun,Nominalizer,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Person,Agr.Role,NPHeadlessness,ClausePosition,NumClass.n,Alignment,VInflCat
Abkhaz,abkh1244,Abkhazian-Ubykh,universal,41,43.08333333,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Special,NA,Twoway contrast,Identical,Differentiated,In 3rd person  1st andor 2nd person,Semantic,Three,Negative affix,Plural suffix,Firstoneth twoth threeth,Marked by mixed or other strategies,Postpositions,DemonstrativeNoun,Type 3  Type 4,XOV,Relative clauseNoun,Absent,Inflectional optative present,Special imperative  normal negative,Second singular and second plural,Pronouns and nouns,No question particle,No possessive classification,Head marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0,SvAtrvP,high
Alamblak,alam1246,Sepik Hill,universal,143.3333333,-4.666666667,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,Differentiation,And different from with,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,NA,Related by gender markers,Twoway contrast,Identical,Identical,3rd person singular only,Semantic,Two,Negative particle,Plural clitic,First twoth threeth,NA,Postpositions,DemonstrativeNoun,NegV,No dominant order,Relative clauseNoun,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flexiblerelational,0,SvAtrvP,medium
Amele,amel1241,Croisilles,universal,145.5833333,-5.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And identical to with,Differentiation,No definite but indefinite article,Indefinite word distinct from one,NA,Genericnounbased,Unrelated,Threeway contrast,Identical,Identical,No gender distinctions,No gender,None,Negative particle,Mixed morphological plural,Firstoneth twoth threeth,No distributive numerals,Postpositions,NounDemonstrative,OptDoubleNeg,XOV,NounRelative clause,Absent,Inflectional optative absent,Special imperative  special negative,No secondperson imperatives,No person marking,Final,More than five classes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,fixedpremain,0,SvAtrvP,low
Amharic,amha1245,West Semitic,universal,38,10,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,And different from with,NA,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,NA,NA,NA,NA,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Double negation,Plural suffix,NA,Marked by reduplication,No dominant order,DemonstrativeNoun,ObligDoubleNeg,NA,Relative clauseNoun,Present,NA,Special imperative  special negative,Second singular and second plural,Pronouns only,NA,No possessive classification,NA,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,OK,NA,0,SvAtrxP,low
Amur Nivkh,gily1242,NA,universal,142,53.33333333,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Differentiation,NA,Differentiation,NA,NA,Optional pronouns in subject position,Interrogativebased,Related for nonhuman reference,Twoway contrast,Different inflection,NA,No gender distinctions,No gender,None,Negative affix,Plural suffix,First two three,Marked by mixed or other strategies,Postpositions,DemonstrativeNoun,OptDoubleNeg,NA,Relative clauseNoun,Absent,Inflectional optative absent,NA,Second singular and second plural,Pronouns only,Final,NA,Head marking,Full reduplication only,Inflectional future exists,No past tense,No grammatical marking,No person marking,SOV,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,SvAtrvP,medium
Apurinã,apur1254,Apurina-Piro-Iñapari,universal,-67,-9,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,Both expressed by juxtaposition,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,NA,Related by gender markers,Twoway contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Two,Negative particle,Plural suffix,None,NA,Postpositions,DemonstrativeNoun,NegV,No dominant order,NounRelative clause,Present,Inflectional optative absent,NA,Second plural,No adpositions,No question particle,No possessive classification,Head marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrvP,high
Awa-Cuaiquer,awac1239,NA,universal,-78.25,1.5,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Related for nonhuman reference,NA,NA,Differentiated,No gender distinctions,No gender,None,Double negation,Plural suffix,None,NA,Postpositions,DemonstrativeNoun,ObligDoubleNeg,XOV,NA,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,Final,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,A or P argument,SOV,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrxP,medium
Bagirmi,bagi1246,NA,universal,16,11.66666667,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,NA,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,NA,Genericnounbased,Unrelated,NA,NA,Identical,No gender distinctions,No gender,None,Negative particle,Plural clitic,NA,NA,Prepositions,NounDemonstrative,VNeg,VOX,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,Pronouns only,Final,No possessive classification,No marking,Full reduplication only,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SVO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,medium
Barasana-Eduria,bara1380,NA,universal,-70.66666667,-0.166666667,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,Identity,NA,NA,NA,NA,Subject affixes on verb,NA,Related to remote demonstratives,Threeway contrast,Identical,NA,3rd person singular only,Semantic,Three,Negative affix,Plural suffix,None,NA,Postpositions,DemonstrativeNoun,VNeg,OXV,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,Second person numberneutral,No person marking,No question particle,Two classes,Head marking,No productive reduplication,No inflectional future,Present 23 remoteness distinctions,No grammatical marking,Only the A argument,No dominant order,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrxP,low
Basque,basq1248,NA,universal,-3,43,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Interrogativebased,Related for all demonstratives,Threeway contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural clitic,First twoth threeth,Marked by suffix,Postpositions,NounDemonstrative,NegV,XOV,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvPxAtr,low
Bukiyip,buki1249,Kombio,universal,143.1666667,-3.466666667,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,Differentiation,NA,NA,NA,Indefinite word distinct from one,Subject affixes on verb,NA,Related to nonremote demonstratives,Twoway contrast,Identical,NA,3rd person only but also nonsingular,Semantic and formal,Five or more,Negative particle,Plural suffix,None,NA,Prepositions,DemonstrativeNoun,OptDoubleNeg,NA,NA,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No adpositions,Final,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrvP,low
Burmese,nucl1310,Lolo-Burmese,universal,96,21,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,And identical to with,NA,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,NA,Unrelated,Twoway contrast,NA,Identical,3rd person singular only,No gender,None,Double negation,Plural word,Various,Marked by suffix,Postpositions,DemonstrativeNoun,ObligDoubleNeg,No dominant order,Relative clauseNoun,Absent,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,No person marking,No question particle,No possessive classification,Dependent marking,Full reduplication only,No inflectional future,No past tense,No grammatical marking,No person marking,SOV,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrxP,low
Burushaski,buru1296,NA,universal,74.5,36.5,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Differentiation,And different from with,Identity,Demonstrative word used as definite article,NA,Subject affixes on verb,Interrogativebased,Related to remote demonstratives,Twoway contrast,Different inflection,Identical,3rd person singular only,Semantic,Four,Negative affix,Plural suffix,First twoth threeth,Marked by reduplication,Postpositions,DemonstrativeNoun,NegV,NA,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,Pronouns only,No question particle,Three to five classes,Double marking,NA,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,flexibleadjacent,0,NA,medium
Canela-Krahô,cane1242,Ge,universal,-45,-7,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,And identical to with,Differentiation,No definite or indefinite article,No definite or indefinite article,NA,Interrogativebased,Unrelated,Twoway contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative particle,No plural,None,NA,Postpositions,NounDemonstrative,VNeg,XOV,Mixed,Absent,NA,Normal imperative  normal negative,Second person numberneutral,Pronouns only,Initial,No possessive classification,Dependent marking,Productive full and partial reduplication,No inflectional future,Present 23 remoteness distinctions,No grammatical marking,Only the P argument,SOV,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,low
Central Kanuri,cent2050,NA,universal,13,12,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And identical to with,Differentiation,Definite word distinct from demonstrative,Indefinite word distinct from one,Subject affixes on verb,NA,Unrelated,Twoway contrast,NA,NA,No gender distinctions,No gender,None,Negative affix,Plural suffix,Firstoneth twoth threeth,NA,Postpositions,NounDemonstrative,VNeg,OXV,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Moroccan Berber,cent2194,NA,universal,-5,33,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And identical to with,Differentiation,NA,NA,Subject affixes on verb,NA,Unrelated,NA,NA,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Mixed morphological plural,First twoth threeth,NA,Prepositions,Mixed,NA,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,Pronouns only,Initial,Two classes,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,VSO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrxP,medium
Chamorro,cham1312,Malayo-Polynesian,universal,144.75,13.45,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,And identical to with,Identity,Definite word distinct from demonstrative,NA,NA,NA,Unrelated,Threeway contrast,Identical,Identical,No gender distinctions,No gender,None,Negative particle,Plural word,First twoth threeth,Marked by mixed or other strategies,Prepositions,DemonstrativeNoun,NegV,NA,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,NA,Pronouns only,Initial,No possessive classification,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,VSO,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,medium
Chukchi,chuk1273,Chukotkan,universal,-173,67,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Unrelated,Threeway contrast,Identical,NA,No gender distinctions,No gender,None,Negative particle,Plural suffix,Firstoneth twoth threeth,Marked by mixed or other strategies,Postpositions,DemonstrativeNoun,NegV,NA,Mixed,Absent,Inflectional optative absent,Special imperative  special negative,No secondperson imperatives,No person marking,No question particle,No possessive classification,No marking,Productive full and partial reduplication,Inflectional future exists,No past tense,Grammatical marking,Both the A and P arguments,No dominant order,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvPxAtr,medium
Eastern Armenian,nucl1235,NA,universal,45,40,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Differentiation,And different from with,NA,Definite affix,Indefinite word distinct from one,Subject affixes on verb,NA,Related to remote demonstratives,NA,NA,Identical,No gender distinctions,No gender,None,Variation between negative word and affix,Plural suffix,First twoth threeth,Marked by mixed or other strategies,Postpositions,DemonstrativeNoun,Type 1  Type 3,No dominant order,Mixed,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,NA,Full reduplication only,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,No dominant order,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Oromo,east2652,Eastern Cushitic,universal,42,9,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,Differentiation,And different from with,Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Genericnounbased,Unrelated,Twoway contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Two,Double negation,No plural,First twoth threeth,NA,Postpositions,NounDemonstrative,ObligDoubleNeg,XOV,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,Two classes,Other,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrxP,low
Egyptian Arabic,egyp1253,West Semitic,universal,31,30,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And different from with,Identity,Definite affix,No indefinite but definite article,Subject affixes on verb,Genericnounbased,Related by gender markers,Twoway contrast,Identical,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Mixed morphological plural,First twoth threeth,No distributive numerals,Prepositions,NounDemonstrative,OptDoubleNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,Pronouns only,Initial,No possessive classification,No marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SVO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,mixed,medium
English,stan1293,Germanic,universal,0,52,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word distinct from one,Obligatory pronouns in subject position,Genericnounbased,Related for all demonstratives,Twoway contrast,Identical,Identical,3rd person singular only,Semantic,Three,Negative particle,Plural suffix,First second threeth,No distributive numerals,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,flexibleadjacent,0,mixed,low
Epena,epen1239,NA,universal,-77,3,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Definite word distinct from demonstrative,No indefinite but definite article,Optional pronouns in subject position,NA,Unrelated,Twoway contrast,Different inflection,NA,No gender distinctions,No gender,None,Negative affix,Plural clitic,NA,NA,Postpositions,DemonstrativeNoun,VNeg,OVX,Internally headed,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,No marking,Productive full and partial reduplication,NA,NA,NA,No person marking,SOV,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvPxAtr,low
Evenki,even1259,Northern Tungusic,universal,125,56,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Differentiation,NA,Identity,No definite or indefinite article,No definite or indefinite article,Obligatory pronouns in subject position,Interrogativebased,Unrelated,Twoway contrast,Identical,Identical,No gender distinctions,No gender,None,Double negation,Plural suffix,First second threeth,Marked by suffix,Postpositions,DemonstrativeNoun,ObligDoubleNeg,NA,Relative clauseNoun,Present,Inflectional optative present,Normal imperative  normal negative,Second singular and second plural,Pronouns only,Final,No possessive classification,Double marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SOV,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrxP,low
Ewe,ewee1241,Gbe,universal,0.416666667,6.333333333,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Identity,And identical to with,NA,Demonstrative word used as definite article,Indefinite word distinct from one,Subject affixes on verb,Genericnounbased,NA,Twoway contrast,NA,Differentiated,No gender distinctions,No gender,None,Double negation,Plural clitic,First twoth threeth,NA,Postpositions,NounDemonstrative,ObligDoubleNeg,NA,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,Pronouns only,Final,Two classes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,mixed,NA
Fijian,fiji1243,Malayo-Polynesian,universal,178,-17.83333333,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And identical to with,Differentiation,No definite or indefinite article,No definite or indefinite article,Subject pronouns in different position,NA,Unrelated,Threeway contrast,Identical,Differentiated,No gender distinctions,No gender,None,NA,NA,First twoth threeth,Marked by prefix,Prepositions,NounDemonstrative,NegV,No dominant order,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,Pronouns and nouns,No question particle,No possessive classification,Head marking,Full reduplication only,No inflectional future,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,No dominant order,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,medium
Finnish,finn1318,Finno-Ugric,universal,25,62,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Mixed,Special,Unrelated,Twoway contrast,Identical,Identical,No gender distinctions,No gender,None,Negative auxiliary verb,Plural suffix,First second threeth,No distributive numerals,Postpositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,Pronouns only,Second position,No possessive classification,Double marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OK,NA,0,SvAtrxP,low
French,stan1290,Italic-Celtic,universal,2,48,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Genericnounbased,Related by gender markers,No distance contrast,Different stem,Differentiated,3rd person singular only,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,No distributive numerals,Prepositions,DemonstrativeNoun,OptDoubleNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,Initial,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0,SvAtrvP,low
Georgian,nucl1302,Georgian-Zan,universal,44,42,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,Mixed,And different from with,Identity,NA,NA,Subject pronouns in different position,Interrogativebased,Related to remote demonstratives,Threeway contrast,Different inflection,Identical,No gender distinctions,No gender,None,Negative particle,Plural suffix,First twoth threeth,Marked by reduplication,Postpositions,DemonstrativeNoun,NegV,NA,NounRelative clause,Present,Inflectional optative present,NA,No secondperson imperatives,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,medium
